"4428773","2022-08-02 18:00:50.000","38925","KSFO","KSEA","ASA980","abaceb","39.61869812","-123.047897339","9r03rur78hte"
"4428774","2022-08-02 18:00:48.000","37950","KSFO","KGEG","QXE2030","a831b2","41.752799988","-122.797798157","9r2tt8v7eyj1"
"4428775","2022-08-02 18:00:50.000","27900","KSJC","KSLC","DAL1222","a39e6b","40.842601776","-113.274803162","9rr2q75v3ubc"
"4428776","2022-08-02 18:00:50.000","23175","KSFO","LFPG","UAL984","aa92ff","38.327098846","-122.738998413","9qbdp10pw116"
"4428777","2022-08-02 18:00:50.000","34150","KSJC","KSEA","SWA682","abaafe","36.527099609","-113.019302368","9qrxu1tcg2uh"
"4428778","2022-08-02 18:00:50.000","8675","KSJC","KPDX","SKW3378","a4b5b6","37.328601837","-122.222099304","9q9h6g2wfetr"
"4428779","2022-08-02 18:00:50.000","33625","KSFO","KJFK","JBU2115","ad2095","37.755901337","-119.953300476","9qdwy3k8jd0k"
"4428780","2022-08-02 18:00:50.000","35800","KSFO","KSAN","UAL512","a2bbcc","35.847198486","-121.157302856","9q3gfvzcn4ph"
"4428781","2022-08-02 18:00:50.000","20550","KSJC","KBNA","SWA2880","abf32f","37.162399292","-120.552597046","9qd72v0q8vk6"
"4428782","2022-08-02 18:00:48.000","725","KSJC","KSEA","ASA509","a331f6","37.328800201","-121.892799377","9q9k67825btn"
"4428783","2022-08-02 18:00:50.000","13100","KSFO","KLAS","UAL2262","a39fb1","37.947601318","-122.220298767","9q9pfu1uu9eg"
"4428784","2022-08-02 18:00:45.000","42250","KSJC","KGGG","N177BB","a13349","35.828098297","-114.641601562","9qq7z629c1d5"
"4428785","2022-08-02 18:00:50.000","38100","KSFO","KIAD","UAL424","aa6e81","37.678501129","-120.582099915","9qdq254v1mtw"
"4428789","2022-08-02 18:00:50.000","29775","KSFO","KPSP","SKW3458","a1589d","35.220600128","-119.439498901","9q7065dycgwx"
"4428790","2022-08-02 18:00:48.000","10500","KSFO","KIAD","UAL277","ab329e","37.59690094","-122.49710083","9q8vus23fdm3"
"4428791","2022-08-02 18:00:37.000","38550","KSFO","KMSP","EJA695","a93eb8","37.487499237","-118.235496521","9qevm2rs90rg"
"4428792","2022-08-02 18:00:50.000","36025","KSFO","KATL","DAL824","a78d73","37.973098755","-118.356002808","9qgb48zc34xv"
"4428793","2022-08-02 18:00:49.000","800","KSFO","CYVR","ACA564","c03001","37.591400146","-122.309799194","9q9jbg29z0gs"
"4428794","2022-08-02 18:00:50.000","20050","KSFO","KEWR","UAL310","aa56b4","37.617900848","-121.075996399","9q9yhb5hhucx"
"4428795","2022-08-02 18:00:50.000","32750","KOAK","KPDX","SWA2012","ac712d","36.778701782","-121.607200623","9q990z276ygj"
"4428796","2022-08-02 18:00:40.000","5150","KSJC","KVNY","EJA116","a043ec","37.570999146","-122.504997253","9q8vsrddftv7"
"4428798","2022-08-02 18:00:50.000","38250","KSFO","KMCO","UAL470","a91535","38.121200562","-114.352401733","9qy8vgg05fv5"
"4428799","2022-08-02 18:00:49.000","3750","KSJC","KPSP","SKW3428","a4cfb7","37.212898254","-121.766197205","9q97tnkscgn8"
"4428801","2022-08-02 18:00:03.000","34925","KSFO","KMSP","DAL1084","a3e525","39.728500366","-119.384002686","9r545275r15x"
"4428802","2022-08-02 18:00:23.000","33925","KSFO","KBOS","DAL346","a64578","39.841499329","-119.510902405","9r548kyvd1u2"
"4428803","2022-08-02 18:00:48.000","22000","KSFO","RKSI","UAL892","a31a34","38.287601471","-122.846298218","9qb9ud413y0z"
"4428805","2022-08-02 18:00:50.000","10300","KSFO","KBUR","SWA1157","aa7aeb","37.173698425","-122.039497375","9q95qzm83xeh"
"4428806","2022-08-02 18:00:50.000","18825","KSJC","KSAN","SWA1617","abe501","37.525699615","-121.750701904","9q9mmrrg512t"
"4428807","2022-08-02 18:00:50.000","13425","KSFO","KIAH","UAL1850","a4453e","36.948898315","-121.95249939","9q960ykfuvce"
"4428808","2022-08-02 18:00:50.000","40300","KSFO","KMSP","SCX393","ab704b","39.147899628","-113.286499023","9qzqwnem11rv"
"4428810","2022-08-02 18:00:50.000","8775","KSFO","KLAX","SKW3459","a1801c","37.546398163","-122.203102112","9q9je5n7t7ft"
"4428811","2022-08-02 18:00:50.000","45275","KSJC","KSDL","LXJ374","a4433a","39.647701263","-114.543701172","9rn993xud71y"
"4428814","2022-08-02 18:00:25.000","34150","KSFO","RJAA","ANA8","8694fa","37.965000153","-124.448699951","9nxxbp74phgx"
"4428816","2022-08-02 18:00:50.000","40050","KSJC","KBUR","SWA472","aa9afc","40.180301666","-122.039901733","9r1hwft70pje"
"4428818","2022-08-02 18:00:50.000","42275","KOAK","KSAN","SWA2939","a59b9c","35.474998474","-119.424499512","9q71f6j8z7nb"
"4428819","2022-08-02 18:02:20.000","38975","KSFO","KSEA","ASA980","abaceb","39.435001373","-123.015800476","9r082dyts14f"
